size,threads,time_seconds
100,1,0.059071
100,2,0.033242
100,4,0.018084
100,8,0.016284
100,16,0.016039
100,32,0.069859
100,64,0.116111
100,128,0.226786
200,1,0.237645
200,2,0.122419
200,4,0.066317
200,8,0.038930
200,16,0.037831
200,32,0.097248
200,64,0.148674
200,128,0.254693
300,1,0.422837
300,2,0.214544
300,4,0.116720
300,8,0.060157
300,16,0.060524
300,32,0.127297
300,64,0.176839
300,128,0.283727
400,1,0.946435
400,2,0.496146
400,4,0.275627
400,8,0.208394
400,16,0.209696
400,32,0.240516
400,64,0.296856
400,128,0.481759
500,1,1.136096
500,2,0.572273
500,4,0.325687
500,8,0.187955
500,16,0.214260
500,32,0.286447
500,64,0.336012
500,128,0.441811
600,1,1.583959
600,2,0.819924
600,4,0.467690
600,8,0.242503
600,16,0.290803
600,32,0.352629
600,64,0.403341
600,128,0.532991
700,1,2.273238
700,2,1.166092
700,4,0.659676
700,8,0.365532
700,16,0.368778
700,32,0.463455
700,64,0.516257
700,128,0.657434
800,1,3.943570
800,2,2.034336
800,4,1.161489
800,8,0.614207
800,16,0.618754
800,32,0.778546
800,64,0.879607
800,128,0.951131
900,1,3.615876
900,2,2.104379
900,4,1.171750
900,8,0.950421
900,16,1.325124
900,32,0.993200
900,64,1.101086
900,128,1.189041
1000,1,4.774508
1000,2,2.632827
1000,4,1.421804
1000,8,1.233577
1000,16,1.576523
1000,32,1.001078
1000,64,1.061764
1000,128,1.109347
